route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000045,OCESN13118F3589087:2025-01-24T00:40:05Z,13118,1,115,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13118F3747033:2025-01-23T00:40:07Z,13118,1,116,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13118F3827592:2025-01-22T00:42:25Z,13118,1,117,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13119F3514112:2025-01-24T00:40:05Z,13119,0,118,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13120F3514871:2025-01-24T00:40:05Z,13120,1,119,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13121F3515988:2025-01-22T00:42:25Z,13121,0,120,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000046,OCESN13121F3517730:2025-01-24T00:40:05Z,13121,0,121,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000047,OCESN13121F3533819:2025-01-24T00:40:05Z,13121,0,122,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13121F3631273:2025-01-22T00:42:25Z,13121,0,123,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13121F3825263:2025-01-22T00:42:25Z,13121,0,124,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13121F3827659:2025-01-22T00:42:25Z,13121,0,125,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000049,OCESN13122F3517763:2025-01-23T00:40:07Z,13122,1,126,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000050,OCESN13122F3520826:2025-01-24T00:40:05Z,13122,1,127,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13123F3517962:2025-01-24T00:40:05Z,13123,0,128,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13124F3518857:2025-01-24T00:40:05Z,13124,1,129,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13124F3594272:2025-01-22T00:42:25Z,13124,1,130,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13125F3517353:2024-11-29T10:03:28Z,13125,0,131,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13125F3518906:2024-11-29T10:03:28Z,13125,0,132,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13125F3533828:2025-01-22T00:42:25Z,13125,0,133,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13125F3546047:2025-01-22T00:42:25Z,13125,0,134,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13125F3825532:2025-01-22T00:42:25Z,13125,0,135,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13125F3831192:2025-01-24T00:40:05Z,13125,0,136,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13125F3843034:2025-01-24T00:40:05Z,13125,0,137,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13126F3536015:2025-01-23T00:40:07Z,13126,1,138,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13126F3536040:2025-01-24T00:40:05Z,13126,1,139,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13126F3546061:2025-01-10T00:20:33Z,13126,1,140,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000024,OCESN13126F3546075:2025-01-21T00:39:14Z,13126,1,141,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13126F3546214:2025-01-10T00:20:33Z,13126,1,142,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13126F3594112:2024-11-29T10:03:28Z,13126,1,143,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000045,OCESN13126F3620839:2025-01-24T00:40:05Z,13126,1,144,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13126F3631348:2025-01-22T00:42:25Z,13126,1,145,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13126F3827233:2025-01-22T00:42:25Z,13126,1,146,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13126F3829881:2025-01-22T00:42:25Z,13126,1,147,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13127F3518618:2025-01-24T00:40:05Z,13127,0,148,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000050,OCESN13128F3533840:2025-01-24T00:40:05Z,13128,1,149,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000049,OCESN13128F3534175:2025-01-23T00:40:07Z,13128,1,150,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13129F3517383:2024-11-29T10:03:28Z,13129,0,151,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000051,OCESN13129F3517692:2025-01-24T00:40:05Z,13129,0,152,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13129F3525896:2025-01-24T00:40:05Z,13129,0,153,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13129F3627369:2025-01-22T00:42:25Z,13129,0,154,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13129F3631272:2025-01-22T00:42:25Z,13129,0,155,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13129F3827687:2025-01-22T00:42:25Z,13129,0,156,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13129F3828773:2025-01-22T00:42:25Z,13129,0,157,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13130F3533825:2025-01-24T00:40:05Z,13130,1,158,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13130F3605249:2025-01-22T00:42:25Z,13130,1,159,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13130F3831028:2025-01-22T00:42:25Z,13130,1,160,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13131F3532606:2025-01-24T00:40:05Z,13131,0,161,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000052,OCESN13132F3517919:2025-01-24T00:40:05Z,13132,1,162,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13132F3517922:2025-01-10T00:20:33Z,13132,1,163,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13132F3571278:2025-01-10T00:20:33Z,13132,1,164,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13132F3594019:2025-01-24T00:40:05Z,13132,1,165,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13132F3631291:2025-01-22T00:42:25Z,13132,1,166,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13132F3826804:2025-01-22T00:42:25Z,13132,1,167,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13133F3534205:2025-01-24T00:40:05Z,13133,0,168,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13134F3518015:2025-01-24T00:40:05Z,13134,1,169,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000053,OCESN13135F3533772:2025-01-24T00:40:05Z,13135,0,170,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000054,OCESN13135F3545761:2025-01-24T00:40:05Z,13135,0,171,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13135F3604134:2025-01-10T00:20:33Z,13135,0,172,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13135F3604140:2025-01-10T00:20:33Z,13135,0,173,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13135F3625883:2025-01-22T00:42:25Z,13135,0,174,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13135F3631275:2025-01-22T00:42:25Z,13135,0,175,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13135F3827442:2025-01-22T00:42:25Z,13135,0,176,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000055,OCESN13136F3517961:2025-01-21T00:39:14Z,13136,1,177,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000056,OCESN13136F3519515:2025-01-24T00:40:05Z,13136,1,178,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000057,OCESN13137F3517924:2025-01-23T00:40:07Z,13137,0,179,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000058,OCESN13137F3810041:2025-01-23T00:40:07Z,13137,0,180,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000059,OCESN13137F3844819:2025-01-24T00:40:05Z,13137,0,181,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000031,OCESN13138F3533697:2025-01-24T00:40:05Z,13138,1,182,
